,title,category,view,subscriber
0,BLACKPINK,[음악/댄스/가수],235억0126만,7390만
1,BANGTANTV,[음악/댄스/가수],159억7409만,6590만
2,HYBE LABELS,[음악/댄스/가수],223억8194만,6520만
3,SMTOWN,[음악/댄스/가수],244억0845만,3030만
4,Boram Tube Vlog [보람튜브 브이로그],[키즈/어린이],110억5288만,2650만
5,1MILLION Dance Studio,[음악/댄스/가수],72억3740만,2520만
6,JYP Entertainment,[음악/댄스/가수],163억1461만,2440만
7,1theK (원더케이),[음악/댄스/가수],221억3827만,2400만
8,Mnet K-POP,[음악/댄스/가수],148억8730만,1950만
9,KBS WORLD TV,[TV/방송],135억1256만,1780만
10,JFlaMusic,[음악/댄스/가수],36억0286만,1750만
11,Jane ASMR 제인,[음식/요리/레시피],61억6712만,1640만
12,officialpsy,[음악/댄스/가수],91억7921만,1630만
13,BIGBANG,[음악/댄스/가수],71억7385만,1470만
14,TWICE,[음악/댄스/가수],33억0346만,1360만
15,Hongyu ASMR 홍유,[음식/요리/레시피],37억8332만,1250만
16,TheWeekndVEVO,[미분류],144억7472만,1060만
17,Nao FunFun,[키즈/어린이],448만,1060만
18,핑크퐁 (인기 동요・동화),[키즈/어린이],64억4642만,1050만
19,Stone Music Entertainment,[음악/댄스/가수],87억1231만,1040만
20,DuDuPopTOY,[키즈/어린이],47억1920만,1030만
21,Toymong tv 토이몽TV,[키즈/어린이],41억4286만,1000만
22,MBCkpop,[TV/방송],80억1710만,984만
23,Larva TUBA,[키즈/어린이],42억5263만,966만
24,[햄지]Hamzy,[음식/요리/레시피],29억4059만,946만
25,서은이야기[SeoeunStory],[키즈/어린이],32억4494만,942만
26,Stray Kids,[음악/댄스/가수],17억3120만,935만
27,TOMORROW X TOGETHER OFFICIAL,[음악/댄스/가수],7억4415만,901만
28,Mnet TV,[음악/댄스/가수],107억0463만,886만
29,EXO,[음악/댄스/가수],6억1534만,879만
30,MBCentertainment,[뉴스/정치/사회],156억4739만,870만
31,iKON,[음악/댄스/가수],22억6465만,861만
32,M2,[TV/방송],65억2466만,818만
33,Serie A,[해외],28억8813만,817만
34,쏘영 Ssoyoung,[음식/요리/레시피],9억1270만,799만
35,문복희 Eat with Boki,[음식/요리/레시피],19억1511만,772만
36,SEVENTEEN,[음악/댄스/가수],27억2878만,767만
37,MariAndKids,[키즈/어린이],23억4773만,762만
38,이지금 [IU Official],[음악/댄스/가수],14억5426만,753만
39,JTBC Entertainment,[뉴스/정치/사회],107억4683만,731만
40,SonicToy소닉토이,[키즈/어린이],30억6518만,729만
41,ITZY,[음악/댄스/가수],14억6029만,714만
42,Sungha Jung,[음악/댄스/가수],19억2436만,691만
43,KBS Kpop,[TV/방송],55억6640만,687만
44,Pixar,[미분류],34억3939만,677만
45,YG ENTERTAINMENT,[음악/댄스/가수],17억0275만,669만
46,ALL THE K-POP,[음악/댄스/가수],41억9573만,665만
47,MAMAMOO,[음악/댄스/가수],20억0457만,665만
48,스브스케이팝 / SBS KPOP,[TV/방송],47억6257만,652만
49,야미보이 Yummyboy,[음식/요리/레시피],24억6908만,650만
50,SBS Entertainment,[TV/방송],77억4954만,636만
51,tvN drama,[TV/방송],65억9066만,620만
52,미니특공대TV,[키즈/어린이],34억9757만,620만
53,GOT7,[음악/댄스/가수],8억1436만,619만
54,Samsung,[회사/오피셜],15억4662만,613만
55,SBS Drama,[TV/방송],64억6656만,608만
56,tzuyang쯔양,[음식/요리/레시피],11억4964만,607만
57,[장난감티비]TOYTV,[키즈/어린이],27억5249만,602만
58,PONY Syndrome,[패션/미용],3억5300만,593만
59,TREASURE (트레저),[음악/댄스/가수],13억1502만,580만
60,스위트티비 SweetTV,[키즈/어린이],27억7248만,561만
61,2NE1,[음악/댄스/가수],20억6863만,549만
62,백종원의 요리비책 Paik's Cuisine,[음식/요리/레시피],6억4987만,535만
63,starshipTV,[음악/댄스/가수],31억9596만,533만
64,콩순이 · 시크릿쥬쥬 [Kongsuni · Secret Jouju],[키즈/어린이],47억5745만,523만
65,[Awesome Haeun]어썸하은,[BJ/인물/연예인],8억4191만,522만
66,With Kids Playground [위드키즈 놀이터],[키즈/어린이],19억4084만,514만
67,베이비버스 -인기 동요・동화,[키즈/어린이],35억2121만,513만
68,NCT,[음악/댄스/가수],4억6307만,509만
69,TOY GUMA,[키즈/어린이],16억7536만,506만
70,Red Velvet,[음악/댄스/가수],9억0238만,497만
71,SBS NOW / SBS 공식 채널,[뉴스/정치/사회],50억5350만,494만
72,BT21,[음악/댄스/가수],4억2348만,493만
73,ToyMart TV,[키즈/어린이],21억4979만,489만
74,푸메Fume,[음식/요리/레시피],10억2835만,489만
75,영국남자 Korean Englishman,[BJ/인물/연예인],15억9427만,479만
76,KBS Entertain,[TV/방송],79억4851만,477만
77,NCT DREAM,[음악/댄스/가수],6억4043만,471만
78,MBCdrama,[TV/방송],53억3254만,469만
79,ASTRO 아스트로,[음악/댄스/가수],4억8816만,466만
80,떵개떵,[음식/요리/레시피],27억1115만,466만
81,뽀로로(Pororo),[키즈/어린이],63억1711만,456만
82,NCT 127,[음악/댄스/가수],5억8884만,455만
83,Rosesarerosie,[음악/댄스/가수],3859만,453만
84,JTBC Drama,[TV/방송],46억6812만,452만
85,SBS TV동물농장x애니멀봐,[애완/반려동물],41억3666만,450만
86,Cooking tree 쿠킹트리,[음식/요리/레시피],4억3109만,448만
87,까니짱 [ G-NI ],[음식/요리/레시피],12억1748만,442만
88,하루한끼 one meal a day,[음식/요리/레시피],4억4363만,440만
89,채널 NCT DAILY,[TV/방송],8억0044만,439만
90,슈슈토이 Shushu ToysReview,[키즈/어린이],16억4642만,432만
91,EA SPORTS FIFA,[게임],8억0946만,429만
92,미니팡TV,[키즈/어린이],28억8910만,427만
93,Raon,[음악/댄스/가수],10억1447만,427만
94,CoCosToy 꼬꼬스토이,[키즈/어린이],25억2701만,426만
95,MayTree,[미분류],7억8409만,421만
96,로미유 스토리[Romiyu Story],[키즈/어린이],11억1500만,420만
97,[Dorothy]도로시,[음식/요리/레시피],10억1293만,417만
98,JaeYeol ASMR 재열,[취미/라이프],11억7858만,412만
99,채널 십오야,[TV/방송],8억9302만,407만
